gene_id,Adipose_Aggregate,Brain_Aggregate,Heart_Aggregate,Liver,Muscle_Skeletal
ENSG00000207121,0.001029412,0,0.000181945,0,0.000582565
ENSG00000250704,0.000431978,0.000492434,0.000114907,0,0.000423375
ENSG00000170390,6.959474378,36.45999081,6.013705283,0.965393805,0.920361893
ENSG00000238721,0.000403974,0.000131862,0,0,0.00122528
ENSG00000198589,6.443173069,3.288304241,3.823036239,4.206755752,3.297790162
ENSG00000248521,0.034038092,0.022137558,0.015533207,0.013128894,0.007167584
ENSG00000249690,0.027713332,0.022444964,0.029706577,0.025376336,0.005967258
ENSG00000181541,0.822871321,0.800580053,0.520955149,0.752580354,0.232664457
ENSG00000183432,0.02261539,0.010256576,0.009060005,0.011784381,0.007488543
ENSG00000252451,0.004071721,0.003280448,0.002831036,0.00459469,0.001003736
ENSG00000235606,0.002841693,0.003745188,0.002948078,0.004139646,0.001703026
ENSG00000145425,1181.15267,373.5065592,358.6579069,249.9645133,509.360523
ENSG00000201264,0.008687886,0.003162355,0.0036264,0.001490708,0.001969863
ENSG00000109686,85.35049819,6.484705737,27.65776157,13.63519027,13.7173188
ENSG00000208797,0.360535282,0.079360635,0.108849543,0.216226106,0.071960149
ENSG00000270681,3.585818763,3.464455995,0.57507144,0.371558584,5.315642217
ENSG00000249012,0.053119762,0.027428344,0.061270056,0.072003982,0.018196663
ENSG00000189099,0.029292361,0.080951246,0.021502281,0.027489027,0.010659538
ENSG00000250350,0.021890409,0.010287666,0.023683753,0.03965708,0.05489472
ENSG00000252544,0.010715304,0.004526505,0.009676353,0.004557522,0.003508095
ENSG00000270265,0.054252356,0.048797536,0.047466483,0.058152301,0.238816625
ENSG00000251611,0.089644038,0.104502854,0.047867101,0.077565177,0.234819751
ENSG00000164142,0.581233076,0.431547198,1.207708916,0.430965841,7.930681943
ENSG00000253019,0.010786257,0.008816333,0.006411405,0.004317699,0.009536239
ENSG00000251603,0.205905316,0.278457845,0.499232641,0.139749558,4.156401868
ENSG00000278978,2.765141929,4.598771934,8.662498803,3.226137611,46.17880822
ENSG00000059691,10.07587484,18.2968896,22.57114306,8.614247788,13.55222167
ENSG00000251455,0.680592914,1.017003889,0.518792886,0.326524558,1.697731631
ENSG00000249184,0.002344655,0.007144374,0.135030884,0.002263319,0.005314545
ENSG00000249708,0.000761647,0.001582561,0.000447325,0.000316283,0.000791532
ENSG00000249818,0.004624214,0.002395672,0.001866877,0.003630265,0.00713609
ENSG00000248991,0.006399672,0.011452314,0.009061937,0.001538363,0.004734932
ENSG00000251249,0.006675539,0.041196994,0.003629536,0.00401419,0.006190102
ENSG00000253077,0.001083596,0.008647291,0.000229837,0.000993805,0.000415816
ENSG00000245954,0.276992642,0.078387672,0.063817692,0.05776531,0.018393177
ENSG00000250706,0.004887267,0.016458367,0.001713043,0.005882478,0.003228755
ENSG00000251377,0.02432463,0.028691575,0.011567402,0.034803053,0.014825293
ENSG00000244544,0.001510721,0.009380902,0.000864359,0.003202257,0.002113039
ENSG00000270302,0.015196181,0.035820736,0.016490423,0.012514469,0.008945019
ENSG00000270883,0.060889397,0.837390799,0.044291811,0.063538673,0.043034695
ENSG00000270750,0.284404907,1.741159658,0.437556048,0.264056947,0.381268194
ENSG00000109670,10.44583331,23.63990836,8.716607583,4.512765487,11.47674346
